,id,question,answers
0,train_q0,"At The Beach, Name Something That Might Protect You From Sun. ","{'umbrella': 38, 'sunscreen': 36, 'sun hat': 14, 'sunglasses': 5, 'cover up': 3, 'shade': 3}"
1,train_q1,"After A Week Of Camping, What Luxury Oh Home Are You Most Excited To Have Again? ","{'bed': 35, 'shower': 25, 'tv': 13, 'toilet': 11, 'electricity': 4, 'air conditioner': 4, 'computer': 3}"
2,train_q2,After Having Kids Name Something That Happens That Interrupts A Couples Alone Time At Night,"{'crying baby': 37, 'nightmares': 23, 'feeding times': 18, 'sick kid': 14}"
3,train_q4,At What Age Might A Man Have Midlifecrisis? ,"{'40': 35, '45': 21, '50': 20, '30': 7, '35': 5}"
4,train_q5,At What Age Does It Become Embarrassing To Still Live With Your Parents (Numeric Only)? ,"{'25': 33, '20': 17, '21': 15, '30': 11, '18': 7, '22': 5, '24': 4}"
5,train_q6,ame A Reason Why You Might Be Nervous While Driving,"{'weather conditions': 24, 'heavy traffic': 20, 'new driver': 19, 'spot a police car': 17, 'tailgating': 11, 'lost': 8}"
6,train_q7,aside From Animals Name Something People Hunt For,"{'bargains': 38, 'treasure': 16, 'easter eggs': 14, 'lost keys': 11, 'job': 8, 'dates': 7}"
7,train_q8,According to men: What is something men look for when choosing a mate? ,"{'good looks': 29, 'personality': 18, 'financial security': 9, 'compatibility': 9, 'sense of humor': 7, 'honesty': 7}"
8,train_q9,"Besides A Waiter, Name A Job At A Restaurant. ","{'chef': 66, 'host': 8, 'dishwasher': 8, 'cashier': 7, 'busser': 6}"
9,train_q10,Besides Books Name Something People Read,"{'magazines': 49, 'news papers': 43, 'road signs': 4, 'poems': 2, 'billboards': 2}"
10,train_q11,Besides Music Name Something You Might Hear On A Morning Radio Show,"{'news': 53, 'talking': 16, 'weather': 13, 'jokes': 5, 'commercials': 4, 'traffic': 4, 'sports': 3}"
11,train_q12,Being In Hot Water Is One Way Of Saying Youre In Trouble Name Another,"{'in the doghouse': 30, 'on thin ice': 28, 'in a pickle': 15, 'burned your bridges': 11, 'river without paddle': 11}"
12,train_q14,"Based on how much you use it, what do you consider the greatest invention ever? ","{'telephone': 15, 'electricity': 13, 'tv': 12, 'car': 12, 'computer': 6, 'microwave': 5}"
13,train_q15,"Besides plastic surgery, name something women can do to dramatically change her appearance. ","{'lose weight': 25, 'hair stylist': 19}"
14,train_q16,"Besides the sun and the moon, name something else that rises. ","{'bread yeast': 23, 'people': 16, 'heat temperature': 14, 'tide sea': 13}"
15,train_q17,Besides turkey name a dish served at Thanksgiving. ,"{'ham': 22, 'stuffing': 21, 'sweet potatoes': 19, 'cranberries': 12, 'potatoes': 11, 'pumpkin pie': 7}"
16,train_q18,"Besides milk, name a popular dairy product. ","{'cheese': 58, 'ice cream': 21, 'yogurt': 10, 'butter': 10}"
17,train_q19,"Besides pirates, name something you might find on an old pirate ship. ","{'treasure': 64, 'flag': 7, 'sails': 6, 'cannon': 6, 'sword': 4, 'bones': 3}"
18,train_q20,"Besides the American Revolution, name another revolution. ","{'french revolution': 56, 'industrial revolution': 14, 'mexican revolution': 11, 'spanish revolution': 9}"
19,train_q21,"Besides a mattress, name something people sleep on. ","{'couch': 26, 'floor': 24, 'futon': 21, 'pillow': 8, 'blanket': 5, 'sleeping bag': 3}"
20,train_q22,"Besides Sand, Name Something You’D Need To Make A Sand Castle. ","{'water': 56, 'bucket': 25}"
21,train_q24,Besides trash name something specific people throw away every day. ,"{'coinage': 37, 'riches': 37, 'money': 37, 'wealth': 37, 'currency': 37, 'bucks': 37, 'cash': 37, 'meals': 20, 'groceries': 20, 'food': 20, 'suppers': 20, 'edibles': 20, 'eats': 20, 'nutrients': 20, 'dinner': 20, 'desserts': 20, 'sandwiches': 20, 'tucker': 20, 'lunches': 20}"
22,train_q25,"Besides a rose, name the best-selling flower at a flower shop. ","{'carnation': 33, 'lily': 16, 'tulip': 13, 'daisy': 10, 'orchid': 8, 'chrysanthemum': 8}"
23,train_q26,"Daytime or nighttime, who is the best-dressed talk show host? ","{'oprah winfrey': 48, 'david letterman': 11, 'montel williams': 8, 'regis philbin': 7, 'jay leno': 4, 'ellen degeneres': 4, 'ricki lake': 4}"
24,train_q27,Dogs chase cats. What do cats chase? ,"{'mice': 83, 'birds': 7, 'balls': 3, 'dogs': 2}"
25,train_q28,Give me a woman's name with 3 letters. ,"{'ann': 22, 'sue': 22, 'amy': 14, 'eve': 14, 'pam': 11, 'mia': 10}"
26,train_q29,Give me a fruit or vegetable that is purple. ,"{'eggplant': 39, 'plum': 25, 'grape': 22, 'cabbage': 3, 'beets': 3}"
27,train_q30,Give me a part of your body that never stops growing. ,"{'hair': 52, 'nails': 25, 'brain mind': 6, 'feet': 6, 'bottom': 4, 'stomach': 2}"
28,train_q31,Give me a reason for moving away from your hometown. ,"{'career change': 55, 'going to college': 19, 'an ex': 17, 'significant other': 9}"
29,train_q32,Give me a word or phrase with the word belly. ,"{'belly button': 43, 'jelly belly': 19, 'belly dance': 18, 'belly ache': 9, 'belly flop': 6, 'round belly': 5}"
30,train_q34,How Could You Tell That Someone’s ID Is Fake? ,"{""photo doesn't match"": 57, 'made up name': 28, 'expired date': 10, 'no seal': 3}"
31,train_q35,How Can You Tell That Your Date Isn’t Interested In The Movie? ,"{'falls asleep': 42, 'yawning': 26, 'more into you': 12, 'talking alot': 9, 'bathroom often': 6, 'goes home': 3}"
32,train_q36,How Can You Tell One Car Apart From Another Of The Same Model And Year? ,"{'color': 47, 'license plate': 34, 'dents': 6, 'bumper stickers': 4, 'tires': 3, 'dirty clean': 3}"
33,train_q37,How Can You Tell That A Letter Was Written By Someone Who Hates To Waste Paper? ,"{'small print': 42, 'mistakes': 31, 'both sides used': 17, 'recycle paper': 8}"
34,train_q38,How Old Were You When You Babysat For The First Time,"{'10': 7, '12': 30, '13': 29, '14': 14, '15': 11}"
